"layer","0","Physical","Physical"
"resource","1","DB2","DB2","DB2 Database","0"
"node","94","89","COUNTRY_KEY","Column","1"
"node","95","89","CUST_NO","Column","1"
"node","96","89","DEATH_DATE","Column","1"
"node","97","89","DIC","Column","1"
"node","98","89","FAMILY_NAME","Column","1"
"node","99","89","FIRST_NAME","Column","1"
"node","100","89","GENDER_KEY","Column","1"
"node","101","89","ICO","Column","1"
"node","102","89","PARTY_KEY","Column","1"
"node","103","89","RC","Column","1"
"node","104","89","SHORT_NAME","Column","1"
"node","105","89","SRC_ID","Column","1"
"node","106","89","SRC_SYS_ID","Column","1"
"node","107","89","VALID_FROM","Column","1"
"node","108","89","VALID_TO","Column","1"
"node","109","11","REP_CLIENT","Table","1"
"node","110","109","ADDRESS_LINE1","Column","1"
"node","111","109","ADDRESS_LINE2","Column","1"
"node","112","109","ADDRESS_LINE3","Column","1"
"node","113","109","COUNTRY","Column","1"
"node","114","109","CUST_CLASSIFICATION","Column","1"
"node","115","109","CUSTOMER_NAME","Column","1"
"node","116","109","CUSTOMER_NO","Column","1"
"node","117","109","DATE_OF_BIRTH","Column","1"
"node","118","109","DIC","Column","1"
"node","119","109","FULL_NAME","Column","1"
"node","120","109","ICO","Column","1"
"node","121","109","SNAP_DATE","Column","1"
"node","122","11","SEGMENT_H","Table","1"
"node","123","122","PARTY_KEY","Column","1"
"node","124","122","SEG_KEY","Column","1"
"node","125","122","VALID_FROM","Column","1"
"node","126","122","VALID_TO","Column","1"
"node","127","11","REP_CLIENT_VIEW","View","1"
"node","128","127","ADDRESS_LINE1","Column","1"
"node","129","127","ADDRESS_LINE2","Column","1"
"node","130","127","ADDRESS_LINE3","Column","1"
"node","131","127","COUNTRY","Column","1"
"node","132","127","CUST_CLASSIFICATION","Column","1"
"node","133","127","CUSTOMER_NAME","Column","1"
"node","134","127","CUSTOMER_NO","Column","1"
"node","135","127","DATE_OF_BIRTH","Column","1"
"node","136","127","DIC","Column","1"
"node","137","127","FULL_NAME","Column","1"
"node","138","127","ICO","Column","1"
"node","139","127","SNAP_DATE","Column","1"
"node","140","11","REPORT_CLIENT","Procedure","1"
"node","141","140","P_CURRENT_DATE","Parameter","1"
"node","142","11","HIST_PARTY","Procedure","1"
"node","143","142","P_CURRENT_DATE","Parameter","1"
"node","144","11","IMPORT_LOAN","Procedure","1"
"node","145","144","P_CURRENT_DATE","Parameter","1"
"node","146","11","IMPORT_CRM","Procedure","1"
"node","147","3","IAUSER","Schema","1"
"node","148","147","COLUMN_ANALYSIS_MAP","Table","1"
"node","149","148","PROJECT_","Column","1"
"node","150","148","HOST_","Column","1"
"node","151","148","DATASOURCE_","Column","1"
"node","152","148","SCHEMA_","Column","1"
"node","153","148","TABLE_","Column","1"
"node","154","148","COLUMN_","Column","1"
"node","155","148","COLUMN_RID_","Column","1"
"node","156","148","SINGLE_FD_","Column","1"
"node","157","148","FD_TABLE_NAME","Column","1"
"node","158","147","RULE_EXECUTION_MAP","Table","1"
"node","159","158","PROJECT_","Column","1"
"node","160","158","RULENAME","Column","1"
"node","161","158","EXECUTION_RID","Column","1"
"node","162","158","EXECUTION_TIMESTAMP","Column","1"
"node","163","158","DATA_QUERY","Column","1"
"node","164","158","VIOLATIONS_TABLE","Column","1"
"node","165","147","GETFREQUENCYDISTRIBUTION","Procedure","1"
"node","166","165","PROJECT","Parameter","1"
"node","167","165","HOST","Parameter","1"
"node","168","165","DATASOURCE","Parameter","1"
"node","169","165","SCHEMA","Parameter","1"
"node","170","165","TABLE","Parameter","1"
"node","171","165","COLUMN","Parameter","1"
"node","172","165","STARTINDEX","Parameter","1"
"node","173","165","MAXNBOFVALUES","Parameter","1"
"node","174","147","GETRULEOUTPUTTABLE","Procedure","1"
"node","175","174","PROJECT","Parameter","1"
"node","176","174","RULE","Parameter","1"
"node","177","174","EXECUTIONRID","Parameter","1"
"node","178","174","STARTINDEX","Parameter","1"
"node","179","174","MAXNBOFVALUES","Parameter","1"
"node","180","147","GETLASTRULEOUTPUTTABLE","Procedure","1"
"node","181","180","PROJECT","Parameter","1"
"node","182","180","RULE","Parameter","1"
"node","183","180","EXECUTIONINDEX","Parameter","1"
"node","184","180","STARTINDEX","Parameter","1"
"node","185","180","MAXNBOFVALUES","Parameter","1"
"node","186","147","GETRULESETVIOLATIONDETAILS","Procedure","1"
"node","187","186","PROJECT","Parameter","1"
"node","188","186","RULESET","Parameter","1"
"node","189","186","EXECUTIONRID","Parameter","1"
"node","190","186","STARTINDEX","Parameter","1"
"node","191","186","MAXNBOFVALUES","Parameter","1"
"node","192","147","GETLASTRULESETVIOLATIONDETAILS","Procedure","1"
"node","193","192","PROJECT","Parameter","1"
"node","194","192","RULESET","Parameter","1"
"node","195","192","EXECUTIONINDEX","Parameter","1"
"node","196","192","STARTINDEX","Parameter","1"
"node","197","192","MAXNBOFVALUES","Parameter","1"
"node","198","3","SYSPUBLIC","Schema","1"
"node_attribute","5","OBJECT_SOURCE_TYPE","DATABASE"
"node_attribute","6","ORDER","1"
"node_attribute","7","ORDER","2"
"node_attribute","12","OBJECT_SOURCE_TYPE","DATABASE"
"node_attribute","13","ORDER","1"
"node_attribute","14","ORDER","2"
"node_attribute","15","OBJECT_SOURCE_TYPE","DATABASE"
"node_attribute","16","ORDER","1"
"node_attribute","17","ORDER","2"
"node_attribute","18","ORDER","3"
"node_attribute","19","ORDER","4"
"node_attribute","20","ORDER","5"
"node_attribute","21","OBJECT_SOURCE_TYPE","DATABASE"
"node_attribute","22","ORDER","1"
"node_attribute","23","ORDER","2"
"node_attribute","24","ORDER","3"
"node_attribute","25","OBJECT_SOURCE_TYPE","DATABASE"
"node_attribute","26","ORDER","1"
"node_attribute","27","ORDER","2"
"node_attribute","28","OBJECT_SOURCE_TYPE","DATABASE"
"node_attribute","29","ORDER","1"
"node_attribute","30","ORDER","2"
"node_attribute","31","ORDER","3"
"node_attribute","32","ORDER","4"
"node_attribute","33","ORDER","5"
"node_attribute","34","ORDER","6"
"node_attribute","35","ORDER","7"
"node_attribute","36","ORDER","8"
"node_attribute","37","ORDER","9"
"node_attribute","38","ORDER","10"
"node_attribute","39","ORDER","11"
"node_attribute","40","ORDER","12"
"node_attribute","41","ORDER","13"
"node_attribute","42","ORDER","14"
"node_attribute","43","OBJECT_SOURCE_TYPE","DATABASE"
"node_attribute","44","ORDER","1"
"node_attribute","45","ORDER","2"
"node_attribute","46","ORDER","3"
"node_attribute","47","ORDER","4"
"node_attribute","48","ORDER","5"
"node_attribute","49","OBJECT_SOURCE_TYPE","DATABASE"
"node_attribute","50","ORDER","1"
"node_attribute","51","ORDER","2"
"node_attribute","52","ORDER","3"
"node_attribute","53","ORDER","4"
"node_attribute","54","OBJECT_SOURCE_TYPE","DATABASE"
"node_attribute","55","ORDER","1"
"node_attribute","56","ORDER","2"
"node_attribute","57","ORDER","3"
"node_attribute","58","ORDER","4"
"node_attribute","59","ORDER","5"
"node_attribute","60","ORDER","6"
"node_attribute","61","ORDER","7"
"node_attribute","62","ORDER","8"
"node_attribute","63","OBJECT_SOURCE_TYPE","DATABASE"
"node_attribute","64","ORDER","1"
"node_attribute","65","ORDER","2"
"node_attribute","66","ORDER","3"
"node_attribute","67","ORDER","4"
"node_attribute","68","ORDER","5"
"node_attribute","69","ORDER","6"
"node_attribute","70","ORDER","7"
"node_attribute","71","ORDER","8"
"node_attribute","72","ORDER","9"
"node_attribute","73","ORDER","10"
"node_attribute","74","ORDER","11"
"node_attribute","75","ORDER","12"
"node_attribute","76","ORDER","13"
"node_attribute","77","ORDER","14"
"node_attribute","78","ORDER","15"
"node_attribute","79","ORDER","16"
"node_attribute","80","ORDER","17"
"node_attribute","81","OBJECT_SOURCE_TYPE","DATABASE"
"node_attribute","82","ORDER","1"
"node_attribute","83","ORDER","2"
"node_attribute","84","ORDER","3"
"node_attribute","85","ORDER","4"
"node_attribute","86","ORDER","5"
"node_attribute","87","ORDER","6"
"node_attribute","88","ORDER","7"
"node_attribute","89","OBJECT_SOURCE_TYPE","DATABASE"
"node_attribute","90","ORDER","1"
"node_attribute","91","ORDER","2"
"node_attribute","92","ORDER","3"
"node_attribute","93","ORDER","4"
"node_attribute","94","ORDER","5"
"node_attribute","95","ORDER","6"
"node_attribute","96","ORDER","7"
"node_attribute","97","ORDER","8"
"node_attribute","98","ORDER","9"
"node_attribute","99","ORDER","10"
"node_attribute","100","ORDER","11"
"node_attribute","101","ORDER","12"
"node_attribute","102","ORDER","13"
"node_attribute","103","ORDER","14"
"node_attribute","104","ORDER","15"
"node_attribute","105","ORDER","16"
"node_attribute","106","ORDER","17"
"node_attribute","107","ORDER","18"
"node_attribute","108","ORDER","19"
"node_attribute","109","OBJECT_SOURCE_TYPE","DATABASE"
"node_attribute","110","ORDER","1"
"node_attribute","111","ORDER","2"
"node_attribute","112","ORDER","3"
"node_attribute","113","ORDER","4"
"node_attribute","114","ORDER","5"
"node_attribute","115","ORDER","6"
"node_attribute","116","ORDER","7"
"node_attribute","117","ORDER","8"
"node_attribute","118","ORDER","9"
"node_attribute","119","ORDER","10"
"node_attribute","120","ORDER","11"
"node_attribute","121","ORDER","12"
"node_attribute","122","OBJECT_SOURCE_TYPE","DATABASE"
"node_attribute","123","ORDER","1"
"node_attribute","124","ORDER","2"
"node_attribute","125","ORDER","3"
"node_attribute","126","ORDER","4"
"node_attribute","128","ORDER","1"
"node_attribute","129","ORDER","2"
"node_attribute","130","ORDER","3"
"node_attribute","131","ORDER","4"
"node_attribute","132","ORDER","5"
"node_attribute","133","ORDER","6"
"node_attribute","134","ORDER","7"
"node_attribute","135","ORDER","8"
"node_attribute","136","ORDER","9"
"node_attribute","137","ORDER","10"
"node_attribute","138","ORDER","11"
"node_attribute","139","ORDER","12"
"node_attribute","141","ORDER","1"
"node_attribute","141","DATA_TYPE","DATE"
"node_attribute","143","ORDER","1"
"node_attribute","143","DATA_TYPE","DATE"
"node_attribute","145","ORDER","1"
"node_attribute","145","DATA_TYPE","DATE"
"node_attribute","148","OBJECT_SOURCE_TYPE","DATABASE"
"node_attribute","149","ORDER","1"
"node_attribute","150","ORDER","2"
"node_attribute","151","ORDER","3"
"node_attribute","152","ORDER","4"
"node_attribute","153","ORDER","5"
"node_attribute","154","ORDER","6"
"node_attribute","155","ORDER","7"
"node_attribute","156","ORDER","8"
"node_attribute","157","ORDER","9"
"node_attribute","158","OBJECT_SOURCE_TYPE","DATABASE"
"node_attribute","159","ORDER","1"
"node_attribute","160","ORDER","2"
"node_attribute","161","ORDER","3"
"node_attribute","162","ORDER","4"
"node_attribute","163","ORDER","5"
"node_attribute","164","ORDER","6"
"node_attribute","166","ORDER","1"
"node_attribute","166","DATA_TYPE","VARCHAR"
"node_attribute","167","ORDER","2"
"node_attribute","167","DATA_TYPE","VARCHAR"
"node_attribute","168","ORDER","3"
"node_attribute","168","DATA_TYPE","VARCHAR"
"node_attribute","169","ORDER","4"
"node_attribute","169","DATA_TYPE","VARCHAR"
"node_attribute","170","ORDER","5"
"node_attribute","170","DATA_TYPE","VARCHAR"
"node_attribute","171","ORDER","6"
"node_attribute","171","DATA_TYPE","VARCHAR"
"node_attribute","172","ORDER","7"
"node_attribute","172","DATA_TYPE","INTEGER"
"node_attribute","173","ORDER","8"
"node_attribute","173","DATA_TYPE","INTEGER"
"node_attribute","175","ORDER","1"
"node_attribute","175","DATA_TYPE","VARCHAR"
"node_attribute","176","ORDER","2"
"node_attribute","176","DATA_TYPE","VARCHAR"
"node_attribute","177","ORDER","3"
"node_attribute","177","DATA_TYPE","VARCHAR"
"node_attribute","178","ORDER","4"
"node_attribute","178","DATA_TYPE","INTEGER"
"node_attribute","179","ORDER","5"
"node_attribute","179","DATA_TYPE","INTEGER"
"node_attribute","181","ORDER","1"
"node_attribute","181","DATA_TYPE","VARCHAR"
"node_attribute","182","ORDER","2"
"node_attribute","182","DATA_TYPE","VARCHAR"
"node_attribute","183","ORDER","3"
"node_attribute","183","DATA_TYPE","INTEGER"
"node_attribute","184","ORDER","4"
"node_attribute","184","DATA_TYPE","INTEGER"
"node_attribute","185","ORDER","5"
"node_attribute","185","DATA_TYPE","INTEGER"
"node_attribute","187","ORDER","1"
"node_attribute","187","DATA_TYPE","VARCHAR"
"node_attribute","188","ORDER","2"
"node_attribute","188","DATA_TYPE","VARCHAR"
"node_attribute","189","ORDER","3"
"node_attribute","189","DATA_TYPE","VARCHAR"
"node_attribute","190","ORDER","4"
"node_attribute","190","DATA_TYPE","INTEGER"
"node_attribute","191","ORDER","5"
"node_attribute","191","DATA_TYPE","INTEGER"
"node_attribute","193","ORDER","1"
"node_attribute","193","DATA_TYPE","VARCHAR"
"node_attribute","194","ORDER","2"
"node_attribute","194","DATA_TYPE","VARCHAR"
"node_attribute","195","ORDER","3"
"node_attribute","195","DATA_TYPE","INTEGER"
"node_attribute","196","ORDER","4"
"node_attribute","196","DATA_TYPE","INTEGER"
"node_attribute","197","ORDER","5"
"node_attribute","197","DATA_TYPE","INTEGER"
